year,month,season,day_of_week,time_of_day,is_weekend,dtp_count,dead_total,injured_total,dead_children_total,injured_children_total,pct_speed_viol,pct_priority_viol,pct_bad_road,pct_pedestrian,pct_night,pct_severity_fatal
2022,5,Весна,3,Утро (6–12),False,24,2,26,0,4,0.08333333333333333,0.125,0.16666666666666666,0.4166666666666667,0.0,0.08333333333333333
2022,5,Весна,4,Вечер (18–22),False,23,1,25,0,3,0.043478260869565216,0.13043478260869565,0.13043478260869565,0.5217391304347826,0.0,0.043478260869565216
2022,5,Весна,4,День (12–18),False,35,0,37,0,8,0.02857142857142857,0.05714285714285714,0.11428571428571428,0.42857142857142855,0.0,0.0
2022,5,Весна,4,Ночь (22–6),False,18,2,21,0,1,0.2777777777777778,0.05555555555555555,0.05555555555555555,0.2222222222222222,1.0,0.05555555555555555
2022,5,Весна,4,Утро (6–12),False,25,0,27,0,4,0.0,0.0,0.08,0.48,0.0,0.0
2022,5,Весна,5,Вечер (18–22),True,16,1,17,0,1,0.1875,0.125,0.0625,0.375,0.0,0.0625
2022,5,Весна,5,День (12–18),True,35,0,36,0,8,0.17142857142857143,0.02857142857142857,0.08571428571428572,0.34285714285714286,0.0,0.0
2022,5,Весна,5,Ночь (22–6),True,13,0,17,0,1,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.0,1.0,0.0
2022,5,Весна,5,Утро (6–12),True,16,0,17,0,1,0.0625,0.0,0.1875,0.1875,0.0,0.0
2022,5,Весна,6,Вечер (18–22),True,27,0,29,0,3,0.037037037037037035,0.1111111111111111,0.14814814814814814,0.3333333333333333,0.0,0.0
2022,5,Весна,6,День (12–18),True,31,0,36,0,6,0.12903225806451613,0.03225806451612903,0.12903225806451613,0.1935483870967742,0.0,0.0
2022,5,Весна,6,Ночь (22–6),True,25,2,32,0,0,0.28,0.04,0.0,0.2,1.0,0.08
2022,5,Весна,6,Утро (6–12),True,19,0,25,0,1,0.15789473684210525,0.15789473684210525,0.05263157894736842,0.21052631578947367,0.0,0.0
2022,6,Лето,0,Вечер (18–22),False,22,2,20,0,3,0.09090909090909091,0.045454545454545456,0.0,0.3181818181818182,0.0,0.09090909090909091
2022,6,Лето,0,День (12–18),False,31,0,39,0,7,0.0967741935483871,0.0,0.06451612903225806,0.2903225806451613,0.0,0.0
2022,6,Лето,0,Ночь (22–6),False,19,0,26,0,6,0.21052631578947367,0.05263157894736842,0.21052631578947367,0.2631578947368421,1.0,0.0
2022,6,Лето,0,Утро (6–12),False,22,1,25,0,1,0.13636363636363635,0.0,0.18181818181818182,0.4090909090909091,0.0,0.045454545454545456
2022,6,Лето,1,Вечер (18–22),False,23,1,27,0,7,0.13043478260869565,0.043478260869565216,0.08695652173913043,0.391304347826087,0.0,0.043478260869565216
2022,6,Лето,1,День (12–18),False,43,1,49,1,5,0.06976744186046512,0.046511627906976744,0.09302325581395349,0.27906976744186046,0.0,0.023255813953488372
2022,6,Лето,1,Ночь (22–6),False,17,1,23,0,3,0.29411764705882354,0.0,0.058823529411764705,0.29411764705882354,1.0,0.058823529411764705
2022,6,Лето,1,Утро (6–12),False,19,0,19,0,3,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.3157894736842105,0.0,0.0
