dtp_id,moment_date,year,month,day_of_week,hour,time_of_day,season,is_weekend,is_night,is_rush_hour,type_code,type_name_decoded,type_group,severity,dead_count,injured_count,dead_children_count,injured_children_count,vehicles_count,participant_count,area_id,district_id,source_year,place_latitude,place_longitude,road_type_code,street_name,road_name,road_loc,traffic_lane_amount,srf_code,road_sign_code
502450627,2022-01-06,2022,1,3,17,День (12–18),Зима,False,False,True,1,Столкновение ТС,Столкновение,Ранение,0,1,0,0,2,3,10,125,input/2022,55.666379,37.768389,,Белореченская ул,,,4.0,Асфальтобетонное,
502456227,2022-01-06,2022,1,3,18,Вечер (18–22),Зима,False,False,True,4,Наезд на препятствие,Наезд на препятствие,Ранение,0,1,0,0,1,2,4,143,input/2022,55.846596,37.489471,,,,,1.0,Асфальтобетонное,
502603627,2022-01-06,2022,1,3,16,День (12–18),Зима,False,False,False,1,Столкновение ТС,Столкновение,Ранение,0,1,0,0,2,3,5,71,input/2022,55.885313,37.731868,,Ярославское ш,,,6.0,Асфальтобетонное,
502787027,2022-01-06,2022,1,3,19,Вечер (18–22),Зима,False,False,True,1,Столкновение ТС,Столкновение,Ранение,0,1,0,0,2,2,6,57,input/2022,55.809433,37.391485,,Неманский проезд,,,2.0,"Асфальтобетонное, с поверхностной обработкой",
502375027,2022-01-06,2022,1,3,7,Утро (6–12),Зима,False,False,True,1,Столкновение ТС,Столкновение,Гибель,2,0,0,0,2,3,7,100,input/2022,55.221496,36.997533,,,Варшавское шоссе,77.4,2.0,Асфальтобетонное,
502460427,2022-01-06,2022,1,3,14,День (12–18),Зима,False,False,False,1,Столкновение ТС,Столкновение,Ранение,0,2,0,0,2,2,11,72,input/2022,55.684432,37.539876,,Ленинский пр-кт,,,4.0,Асфальтобетонное,
502464027,2022-01-06,2022,1,3,22,Ночь (22–6),Зима,False,True,False,1,Столкновение ТС,Столкновение,Гибель,1,5,0,0,3,8,8,73,input/2022,55.739095,37.673117,,Абельмановская ул,,,6.0,Асфальтобетонное,
502448027,2022-01-06,2022,1,3,17,День (12–18),Зима,False,False,True,1,Столкновение ТС,Столкновение,Ранение,0,2,0,1,2,4,3,144,input/2022,55.984183,37.166716,,Новокрюковская ул,,,4.0,Асфальтобетонное,
502778427,2022-01-07,2022,1,4,21,Вечер (18–22),Зима,False,False,False,1,Столкновение ТС,Столкновение,Ранение,0,1,0,0,2,2,1,30,input/2022,55.707759,37.918046,,Проектируемый 625-й проезд,,,2.0,Асфальтобетонное,
502485627,2022-01-07,2022,1,4,7,Утро (6–12),Зима,False,False,True,1,Столкновение ТС,Столкновение,Ранение,0,1,0,0,2,2,10,26,input/2022,55.652277,37.836142,,,Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона,14,5.0,Асфальтобетонное,
