dtp_id,year,type_group,severity,has_speed_violation,has_priority_violation,has_pedestrian_conflict,has_bad_road_condition,has_young_driver,has_novice_driver,has_truck,has_bus,has_taxi,has_motorcycle,is_night,is_weekend,is_rush_hour,time_of_day,season,dead_count,injured_count,participant_count
503828027,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Да,Да,False,False,True,False,Нет,Нет,Нет,Вечер (18–22),Зима,0,1,4
504245627,2022,Наезд на ТС,Ранение,Да,Нет,Нет,Нет,Да,Да,False,False,False,False,Да,Нет,Нет,Ночь (22–6),Зима,0,1,1
503219227,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,True,True,False,Нет,Нет,Да,Вечер (18–22),Зима,0,1,5
503143027,2022,Пешеходный конфликт,Ранение,Нет,Нет,Да,Нет,Нет,Нет,False,False,False,False,Нет,Нет,Нет,День (12–18),Зима,0,1,2
503105027,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,False,False,Нет,Нет,Нет,День (12–18),Зима,0,1,3
503129227,2022,Наезд на препятствие,Ранение,Да,Нет,Нет,Нет,Нет,Нет,False,False,True,False,Да,Нет,Нет,Ночь (22–6),Зима,0,1,2
503247227,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Да,Нет,True,False,False,False,Нет,Нет,Нет,День (12–18),Зима,0,1,4
503130427,2022,Пешеходный конфликт,Ранение,Нет,Нет,Да,Нет,Нет,Нет,False,False,False,False,Нет,Нет,Нет,День (12–18),Зима,0,1,2
503143427,2022,Пешеходный конфликт,Ранение,Нет,Нет,Да,Нет,Нет,Нет,False,False,False,False,Нет,Нет,Нет,День (12–18),Зима,0,1,2
503193427,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,False,False,Нет,Нет,Нет,День (12–18),Зима,0,1,3
503211227,2022,Пешеходный конфликт,Гибель,Нет,Нет,Да,Нет,Нет,Нет,False,False,True,False,Нет,Нет,Нет,Утро (6–12),Зима,1,0,2
503293227,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,False,False,Нет,Нет,Нет,День (12–18),Зима,0,2,3
503367427,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Да,Да,False,False,False,False,Нет,Нет,Нет,Вечер (18–22),Зима,0,1,2
503196627,2022,Пешеходный конфликт,Ранение,Нет,Да,Да,Нет,Нет,Нет,False,False,False,False,Да,Нет,Нет,Ночь (22–6),Зима,0,1,2
503356427,2022,Столкновение,Ранение,Нет,Да,Нет,Нет,Нет,Нет,False,False,True,False,Нет,Нет,Нет,День (12–18),Зима,0,1,3
503202227,2022,Пешеходный конфликт,Ранение,Нет,Нет,Да,Нет,Нет,Нет,False,True,False,False,Нет,Нет,Да,Утро (6–12),Зима,0,1,2
503249627,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,True,True,False,Нет,Нет,Нет,Утро (6–12),Зима,0,1,5
503303827,2022,Пешеходный конфликт,Ранение,Нет,Нет,Да,Нет,Нет,Нет,False,False,False,False,Нет,Нет,Да,Утро (6–12),Зима,0,1,2
503337227,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,False,False,Нет,Нет,Да,Вечер (18–22),Зима,0,1,3
503345027,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Да,Нет,False,False,True,False,Да,Нет,Нет,Ночь (22–6),Зима,0,1,2
503374427,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Да,Нет,False,True,False,False,Да,Нет,Нет,Ночь (22–6),Зима,0,1,2
503436827,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,True,False,False,Нет,Нет,Нет,День (12–18),Зима,0,1,2
